,datetime,action,profit
0,2020-09-17 00:00:00,0,0.0
1,2020-09-17 00:15:00,0,0.0
2,2020-09-17 00:30:00,0,0.0
3,2020-09-17 00:45:00,0,0.0
4,2020-09-17 01:00:00,0,0.0
5,2020-09-17 01:15:00,0,0.0
6,2020-09-17 01:30:00,0,0.0
7,2020-09-17 01:45:00,0,0.0
8,2020-09-17 02:00:00,0,0.0
9,2020-09-17 02:15:00,0,0.0
10,2020-09-17 02:30:00,0,0.0
11,2020-09-17 02:45:00,0,0.0
12,2020-09-17 03:00:00,0,0.0
13,2020-09-17 03:15:00,0,0.0
14,2020-09-17 03:30:00,0,0.0
15,2020-09-17 03:45:00,0,0.0
16,2020-09-17 04:00:00,0,0.0
17,2020-09-17 04:15:00,0,0.0
18,2020-09-17 04:30:00,0,0.0
19,2020-09-17 04:45:00,0,0.0
20,2020-09-17 05:00:00,0,0.0
21,2020-09-17 05:15:00,0,0.0
22,2020-09-17 05:30:00,0,0.0
23,2020-09-17 05:45:00,0,0.0
24,2020-09-17 06:00:00,0,0.0
25,2020-09-17 06:15:00,0,0.0
26,2020-09-17 06:30:00,0,0.0
27,2020-09-17 06:45:00,0,0.0
28,2020-09-17 07:00:00,0,0.0
29,2020-09-17 07:15:00,0,0.0
30,2020-09-17 07:30:00,0,0.0
31,2020-09-17 07:45:00,0,0.0
32,2020-09-17 08:00:00,0,0.0
33,2020-09-17 08:15:00,0,0.0
34,2020-09-17 08:30:00,0,0.0
35,2020-09-17 08:45:00,0,0.0
36,2020-09-17 09:00:00,0,0.0
37,2020-09-17 09:15:00,0,0.0
38,2020-09-17 09:30:00,0,0.0
39,2020-09-17 09:45:00,0,0.0
40,2020-09-17 10:00:00,0,0.0
41,2020-09-17 10:15:00,0,0.0
42,2020-09-17 10:30:00,0,0.0
43,2020-09-17 10:45:00,0,0.0
44,2020-09-17 11:00:00,0,0.0
45,2020-09-17 11:15:00,0,0.0
46,2020-09-17 11:30:00,0,0.0
47,2020-09-17 11:45:00,0,0.0
48,2020-09-17 12:00:00,0,0.0
49,2020-09-17 12:15:00,0,0.0
50,2020-09-17 12:30:00,0,0.0
51,2020-09-17 12:45:00,0,0.0
52,2020-09-17 13:00:00,0,0.0
53,2020-09-17 13:15:00,0,0.0
54,2020-09-17 13:30:00,0,0.0
55,2020-09-17 13:45:00,0,0.0
56,2020-09-17 14:00:00,0,0.0
57,2020-09-17 14:15:00,0,0.0
58,2020-09-17 14:30:00,0,0.0
59,2020-09-17 14:45:00,0,0.0
60,2020-09-17 15:00:00,0,0.0
61,2020-09-17 15:15:00,0,0.0
62,2020-09-17 15:30:00,0,0.0
63,2020-09-17 15:45:00,0,0.0
64,2020-09-17 16:00:00,0,0.0
65,2020-09-17 16:15:00,0,0.0
66,2020-09-17 16:30:00,0,0.0
67,2020-09-17 16:45:00,0,0.0
68,2020-09-17 17:00:00,0,0.0
69,2020-09-17 17:15:00,0,0.0
70,2020-09-17 17:30:00,0,0.0
71,2020-09-17 17:45:00,0,0.0
72,2020-09-17 18:00:00,0,0.0
73,2020-09-17 18:15:00,0,0.0
74,2020-09-17 18:30:00,0,0.0
75,2020-09-17 18:45:00,0,0.0
76,2020-09-17 19:00:00,0,0.0
77,2020-09-17 19:15:00,0,0.0
78,2020-09-17 19:30:00,0,0.0
79,2020-09-17 19:45:00,0,0.0
80,2020-09-17 20:00:00,0,0.0
81,2020-09-17 20:15:00,0,0.0
82,2020-09-17 20:30:00,0,0.0
