,datetime,action,profit
0,2021-02-24 00:00:00,0,0.0
1,2021-02-24 00:15:00,0,0.0
2,2021-02-24 00:30:00,0,0.0
3,2021-02-24 00:45:00,0,0.0
4,2021-02-24 01:00:00,0,0.0
5,2021-02-24 01:15:00,0,0.0
6,2021-02-24 01:30:00,0,0.0
7,2021-02-24 01:45:00,0,0.0
8,2021-02-24 02:00:00,0,0.0
9,2021-02-24 02:15:00,0,0.0
10,2021-02-24 02:30:00,0,0.0
11,2021-02-24 02:45:00,0,0.0
12,2021-02-24 03:00:00,0,0.0
13,2021-02-24 03:15:00,0,0.0
14,2021-02-24 03:30:00,0,0.0
15,2021-02-24 03:45:00,0,0.0
16,2021-02-24 04:00:00,0,0.0
17,2021-02-24 04:15:00,0,0.0
18,2021-02-24 04:30:00,0,0.0
19,2021-02-24 04:45:00,0,0.0
20,2021-02-24 05:00:00,0,0.0
21,2021-02-24 05:15:00,0,0.0
22,2021-02-24 05:30:00,0,0.0
23,2021-02-24 05:45:00,0,0.0
24,2021-02-24 06:00:00,0,0.0
25,2021-02-24 06:15:00,0,0.0
26,2021-02-24 06:30:00,0,0.0
27,2021-02-24 06:45:00,0,0.0
28,2021-02-24 07:00:00,0,0.0
29,2021-02-24 07:15:00,0,0.0
30,2021-02-24 07:30:00,0,0.0
31,2021-02-24 07:45:00,0,0.0
32,2021-02-24 08:00:00,0,0.0
33,2021-02-24 08:15:00,0,0.0
34,2021-02-24 08:30:00,0,0.0
35,2021-02-24 08:45:00,0,0.0
36,2021-02-24 09:00:00,0,0.0
37,2021-02-24 09:15:00,0,0.0
38,2021-02-24 09:30:00,0,0.0
39,2021-02-24 09:45:00,0,0.0
40,2021-02-24 10:00:00,0,0.0
41,2021-02-24 10:15:00,0,0.0
42,2021-02-24 10:30:00,0,0.0
43,2021-02-24 10:45:00,0,0.0
44,2021-02-24 11:00:00,0,0.0
45,2021-02-24 11:15:00,0,0.0
46,2021-02-24 11:30:00,0,0.0
47,2021-02-24 11:45:00,0,0.0
48,2021-02-24 12:00:00,0,0.0
49,2021-02-24 12:15:00,0,0.0
50,2021-02-24 12:30:00,0,0.0
51,2021-02-24 12:45:00,0,0.0
52,2021-02-24 13:00:00,0,0.0
53,2021-02-24 13:15:00,0,0.0
54,2021-02-24 13:30:00,0,0.0
55,2021-02-24 13:45:00,0,0.0
56,2021-02-24 14:00:00,0,0.0
57,2021-02-24 14:15:00,0,0.0
58,2021-02-24 14:30:00,0,0.0
59,2021-02-24 14:45:00,0,0.0
60,2021-02-24 15:00:00,0,0.0
61,2021-02-24 15:15:00,0,0.0
62,2021-02-24 15:30:00,0,0.0
63,2021-02-24 15:45:00,0,0.0
64,2021-02-24 16:00:00,0,0.0
65,2021-02-24 16:15:00,0,0.0
66,2021-02-24 16:30:00,0,0.0
67,2021-02-24 16:45:00,0,0.0
68,2021-02-24 17:00:00,0,0.0
69,2021-02-24 17:15:00,0,0.0
70,2021-02-24 17:30:00,0,0.0
71,2021-02-24 17:45:00,0,0.0
72,2021-02-24 18:00:00,0,0.0
73,2021-02-24 18:15:00,0,0.0
74,2021-02-24 18:30:00,0,0.0
75,2021-02-24 18:45:00,0,0.0
76,2021-02-24 19:00:00,0,0.0
77,2021-02-24 19:15:00,0,0.0
78,2021-02-24 19:30:00,0,0.0
79,2021-02-24 19:45:00,0,0.0
80,2021-02-24 20:00:00,0,0.0
81,2021-02-24 20:15:00,0,0.0
82,2021-02-24 20:30:00,0,0.0
83,2021-02-24 20:45:00,0,0.0
84,2021-02-24 21:00:00,0,0.0
85,2021-02-24 21:15:00,0,0.0
86,2021-02-24 21:30:00,0,0.0
87,2021-02-24 21:45:00,0,0.0
88,2021-02-24 22:00:00,0,0.0
89,2021-02-24 22:15:00,0,0.0
90,2021-02-24 22:30:00,0,0.0
91,2021-02-24 22:45:00,0,0.0
92,2021-02-24 23:00:00,0,0.0
93,2021-02-24 23:15:00,0,0.0
94,2021-02-24 23:30:00,0,0.0
95,2021-02-24 23:45:00,0,0.0
96,2021-02-25 00:00:00,0,0.0
97,2021-02-25 00:15:00,0,0.0
98,2021-02-25 00:30:00,0,0.0
99,2021-02-25 00:45:00,0,0.0
100,2021-02-25 01:00:00,0,0.0
101,2021-02-25 01:15:00,0,0.0
102,2021-02-25 01:30:00,0,0.0
103,2021-02-25 01:45:00,0,0.0
104,2021-02-25 02:00:00,0,0.0
105,2021-02-25 02:15:00,0,0.0
106,2021-02-25 02:30:00,0,0.0
107,2021-02-25 02:45:00,0,0.0
108,2021-02-25 03:00:00,0,0.0
109,2021-02-25 03:15:00,0,0.0
110,2021-02-25 03:30:00,0,0.0
111,2021-02-25 03:45:00,0,0.0
112,2021-02-25 04:00:00,0,0.0
113,2021-02-25 04:15:00,0,0.0
114,2021-02-25 04:30:00,0,0.0
115,2021-02-25 04:45:00,0,0.0
116,2021-02-25 05:00:00,0,0.0
117,2021-02-25 05:15:00,0,0.0
118,2021-02-25 05:30:00,0,0.0
119,2021-02-25 05:45:00,0,0.0
120,2021-02-25 06:00:00,0,0.0
121,2021-02-25 06:15:00,0,0.0
122,2021-02-25 06:30:00,0,0.0
123,2021-02-25 06:45:00,0,0.0
124,2021-02-25 07:00:00,0,0.0
125,2021-02-25 07:15:00,0,0.0
126,2021-02-25 07:30:00,0,0.0
127,2021-02-25 07:45:00,0,0.0
128,2021-02-25 08:00:00,0,0.0
129,2021-02-25 08:15:00,0,0.0
130,2021-02-25 08:30:00,0,0.0
131,2021-02-25 08:45:00,0,0.0
132,2021-02-25 09:00:00,0,0.0
133,2021-02-25 09:15:00,0,0.0
134,2021-02-25 09:30:00,0,0.0
135,2021-02-25 09:45:00,0,0.0
136,2021-02-25 10:00:00,0,0.0
137,2021-02-25 10:15:00,0,0.0
138,2021-02-25 10:30:00,0,0.0
139,2021-02-25 10:45:00,0,0.0
140,2021-02-25 11:00:00,0,0.0
141,2021-02-25 11:15:00,0,0.0
142,2021-02-25 11:30:00,0,0.0
143,2021-02-25 11:45:00,0,0.0
144,2021-02-25 12:00:00,0,0.0
145,2021-02-25 12:15:00,0,0.0
146,2021-02-25 12:30:00,0,0.0
147,2021-02-25 12:45:00,0,0.0
148,2021-02-25 13:00:00,0,0.0
149,2021-02-25 13:15:00,0,0.0
150,2021-02-25 13:30:00,0,0.0
151,2021-02-25 13:45:00,0,0.0
152,2021-02-25 14:00:00,0,0.0
153,2021-02-25 14:15:00,0,0.0
154,2021-02-25 14:30:00,0,0.0
155,2021-02-25 14:45:00,0,0.0
156,2021-02-25 15:00:00,0,0.0
157,2021-02-25 15:15:00,0,0.0
158,2021-02-25 15:30:00,0,0.0
159,2021-02-25 15:45:00,0,0.0
160,2021-02-25 16:00:00,0,0.0
161,2021-02-25 16:15:00,0,0.0
162,2021-02-25 16:30:00,0,0.0
163,2021-02-25 16:45:00,0,0.0
164,2021-02-25 17:00:00,0,0.0
165,2021-02-25 17:15:00,0,0.0
166,2021-02-25 17:30:00,0,0.0
167,2021-02-25 17:45:00,0,0.0
168,2021-02-25 18:00:00,0,0.0
169,2021-02-25 18:15:00,0,0.0
170,2021-02-25 18:30:00,0,0.0
171,2021-02-25 18:45:00,0,0.0
172,2021-02-25 19:00:00,0,0.0
173,2021-02-25 19:15:00,0,0.0
174,2021-02-25 19:30:00,0,0.0
175,2021-02-25 19:45:00,0,0.0
176,2021-02-25 20:00:00,0,0.0
177,2021-02-25 20:15:00,0,0.0
178,2021-02-25 20:30:00,0,0.0
179,2021-02-25 20:45:00,0,0.0
180,2021-02-25 21:00:00,0,0.0
181,2021-02-25 21:15:00,0,0.0
182,2021-02-25 21:30:00,0,0.0
183,2021-02-25 21:45:00,0,0.0
184,2021-02-25 22:00:00,0,0.0
185,2021-02-25 22:15:00,0,0.0
186,2021-02-25 22:30:00,0,0.0
187,2021-02-25 22:45:00,0,0.0
188,2021-02-25 23:00:00,0,0.0
189,2021-02-25 23:15:00,0,0.0
190,2021-02-25 23:30:00,0,0.0
191,2021-02-25 23:45:00,0,0.0
192,2021-02-26 00:00:00,0,0.0
193,2021-02-26 00:15:00,0,0.0
194,2021-02-26 00:30:00,0,0.0
195,2021-02-26 00:45:00,0,0.0
196,2021-02-26 01:00:00,0,0.0
197,2021-02-26 01:15:00,0,0.0
198,2021-02-26 01:30:00,0,0.0
199,2021-02-26 01:45:00,0,0.0
200,2021-02-26 02:00:00,0,0.0
201,2021-02-26 02:15:00,0,0.0
202,2021-02-26 02:30:00,0,0.0
203,2021-02-26 02:45:00,0,0.0
204,2021-02-26 03:00:00,0,0.0
205,2021-02-26 03:15:00,0,0.0
206,2021-02-26 03:30:00,0,0.0
207,2021-02-26 03:45:00,0,0.0
208,2021-02-26 04:00:00,0,0.0
209,2021-02-26 04:15:00,0,0.0
210,2021-02-26 04:30:00,0,0.0
211,2021-02-26 04:45:00,0,0.0
212,2021-02-26 05:00:00,0,0.0
213,2021-02-26 05:15:00,0,0.0
214,2021-02-26 05:30:00,0,0.0
215,2021-02-26 05:45:00,0,0.0
216,2021-02-26 06:00:00,0,0.0
